R_bc_vol,R_bc_Mass,Eabs_532,Eabs_405,Eabs_632,Core_VED,Core_Volume,Mask_CoatingType
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
0.467826451,0.337874659,0.918004454,1.199229382,0.930382095,157.3252072,2.04E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
1.846153846,1.333333333,1.203721934,NAN,1.194369309,194.1747052,3.83E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
1.315068493,0.949771689,1.100963431,1.202811653,1.033543275,166.8787332,2.43E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
NAN,2.03125,NAN,NAN,NAN,189.3664113,3.56E-15,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
3.009535919,2.173553719,1.25896184,1.92815979,1.242931286,185.849508,3.36E-15,2
2.372781065,1.713675214,1.204199639,1.695516426,1.151515421,170.6049293,2.60E-15,2
NAN,NAN,NAN,NAN,NAN,NAN,NAN,2
